,task,input,output
54343,taxonomy_animal,"camel, whale, duck, butterfly, ambulance, purple","butterfly, whale, duck, camel"
54077,taxonomy_animal,"hippo, donkey, goat, watermelon, honey","donkey, goat, hippo"
52221,taxonomy_animal,"pink, teacher, tortoise, car, swan, shark","tortoise, swan, shark"
54469,taxonomy_animal,"bee, taxi, artist, goat, rabbit, pajamas","rabbit, goat, bee"
54307,taxonomy_animal,"snake, whale, lion, cat, skirt, dress","cat, whale, lion, snake"
53703,taxonomy_animal,"hippo, burger, giraffe, octopus, artist","giraffe, octopus, hippo"
52508,taxonomy_animal,"cat, businesswoman, bread, white, monkey, zebra","zebra, monkey, cat"
52845,taxonomy_animal,"trousers, donkey, rabbit, sheep, belt, ambulance, butterfly","sheep, rabbit, butterfly, donkey"
52819,taxonomy_animal,"elephant, tractor, panda, zebra, rabbit, train, yellow","rabbit, elephant, zebra, panda"
53831,taxonomy_animal,"horse, pear, elephant, cat, dolphin, photographer, dentist","dolphin, horse, elephant, cat"
53104,taxonomy_animal,"penguin, lion, cook, cookie, panda","panda, penguin, lion"
54779,taxonomy_animal,"spider, butterfly, cookie, bat, penguin, bus, skirt","bat, butterfly, penguin, spider"
54045,taxonomy_animal,"horse, lion, artist, jeans, pink, tortoise","lion, horse, tortoise"
55127,taxonomy_animal,"panda, bee, sweater, sheep, tortoise, businessman","sheep, bee, panda, tortoise"
52805,taxonomy_animal,"green, scarf, snake, apple, monkey, sheep","snake, sheep, monkey"
54521,taxonomy_animal,"zebra, sock, frog, dentist, spider, butterfly, engineer","frog, spider, zebra, butterfly"
52787,taxonomy_animal,"duck, waiter, spider, artist, whale, jellyfish","whale, duck, spider, jellyfish"
54623,taxonomy_animal,"fly, purple, watermelon, cat, donkey, snail","snail, cat, fly, donkey"
52880,taxonomy_animal,"swan, bus, lion, red, frog, penguin","frog, swan, penguin, lion"
54429,taxonomy_animal,"rabbit, duck, sweater, goat, belt","duck, goat, rabbit"
52264,taxonomy_animal,"green, mouse, teacher, frog, snake, pancake","mouse, frog, snake"
52402,taxonomy_animal,"fly, hippo, chicken, kiwi, purple","hippo, fly, chicken"
53517,taxonomy_animal,"elephant, teacher, cookie, whale, lizard, monkey","whale, lizard, monkey, elephant"
55042,taxonomy_animal,"shark, tractor, bat, red, penguin","bat, shark, penguin"
52955,taxonomy_animal,"tortoise, designer, taxi, mechanic, sheep, parrot","tortoise, sheep, parrot"
54205,taxonomy_animal,"soup, zebra, lion, white, whale, dress, snail","snail, whale, zebra, lion"
53169,taxonomy_animal,"bat, cook, octopus, tortoise, jacket","tortoise, bat, octopus"
52432,taxonomy_animal,"glove, frog, mouse, car, tortoise, duck, actor","frog, tortoise, mouse, duck"
53420,taxonomy_animal,"jellyfish, tortoise, duck, belt, spaceship","duck, tortoise, jellyfish"
54728,taxonomy_animal,"jellyfish, taxi, bee, giraffe, ambulance, vegetable","bee, jellyfish, giraffe"
53764,taxonomy_animal,"engineer, tiger, dolphin, butterfly, mouse, actor","mouse, butterfly, dolphin, tiger"
53141,taxonomy_animal,"parrot, potato, zebra, sheep, watermelon, taxi","parrot, sheep, zebra"
55031,taxonomy_animal,"helicopter, brown, camel, dolphin, snail","camel, snail, dolphin"
54323,taxonomy_animal,"banana, cookie, panda, tiger, snail","snail, tiger, panda"
54925,taxonomy_animal,"spider, sheep, orange, car, red, snail, goat","snail, goat, spider, sheep"
53238,taxonomy_animal,"shark, fly, pear, butterfly, car","butterfly, shark, fly"
55073,taxonomy_animal,"chicken, pajamas, rabbit, monkey, hippo, trousers","chicken, monkey, hippo, rabbit"
54596,taxonomy_animal,"ship, butterfly, elephant, dolphin, orange","elephant, dolphin, butterfly"
52581,taxonomy_animal,"red, goat, camel, belt, lizard","goat, lizard, camel"
54897,taxonomy_animal,"butterfly, engineer, whale, blue, bat, snake, ambulance","snake, whale, butterfly, bat"
54401,taxonomy_animal,"red, vegetable, sheep, swan, zebra, hippo","sheep, hippo, zebra, swan"
53700,taxonomy_animal,"trousers, hippo, gold, lizard, carrot, panda","lizard, panda, hippo"
52420,taxonomy_animal,"ambulance, sheep, camel, chicken, spider, motorway","camel, chicken, spider, sheep"
54792,taxonomy_animal,"duck, parrot, snail, tractor, plane","snail, parrot, duck"
55048,taxonomy_animal,"sheep, salad, sweater, tortoise, zebra, red, jellyfish","sheep, tortoise, zebra, jellyfish"
52870,taxonomy_animal,"snail, white, horse, car, zebra, tiger","snail, zebra, tiger, horse"
52631,taxonomy_animal,"cat, sock, hat, whale, fly","fly, whale, cat"
54642,taxonomy_animal,"snake, whale, lizard, actor, pea","snake, lizard, whale"
54106,taxonomy_animal,"snail, swimsuit, bus, lizard, horse","horse, snail, lizard"
54432,taxonomy_animal,"salad, penguin, helicopter, parrot, rabbit, bat","rabbit, penguin, parrot, bat"
55027,taxonomy_animal,"penguin, shirt, honey, snake, goat, red","snake, goat, penguin"
53085,taxonomy_animal,"bee, zebra, dress, helicopter, butterfly, fly","bee, zebra, fly, butterfly"
53486,taxonomy_animal,"spaceship, whale, butterfly, tortoise, green, bat","butterfly, tortoise, bat, whale"
53503,taxonomy_animal,"red, sheep, whale, belt, parrot, frog","sheep, parrot, whale, frog"
54247,taxonomy_animal,"panda, pink, elephant, shoe, purple, fly","fly, elephant, panda"
53564,taxonomy_animal,"artist, scarf, parrot, cat, yellow, zebra, butterfly","butterfly, cat, zebra, parrot"
54472,taxonomy_animal,"dolphin, pear, spaceship, cat, plane, duck, tortoise","cat, dolphin, tortoise, duck"
54838,taxonomy_animal,"pea, elephant, hat, fly, truck, jellyfish, horse","fly, elephant, horse, jellyfish"
54519,taxonomy_animal,"nurse, duck, artist, shark, whale","shark, whale, duck"
52492,taxonomy_animal,"shoe, chicken, panda, spaceship, bat, snail","bat, chicken, snail, panda"
53858,taxonomy_animal,"spider, dolphin, monkey, belt, butter","monkey, dolphin, spider"
52246,taxonomy_animal,"sausage, car, cat, parrot, truck, elephant, snail","cat, parrot, snail, elephant"
54680,taxonomy_animal,"tiger, car, donkey, swan, panda, strawberry, ambulance","tiger, panda, swan, donkey"
54831,taxonomy_animal,"panda, yellow, duck, egg, goat","goat, duck, panda"
54718,taxonomy_animal,"penguin, cat, tortoise, orange, designer, horse","cat, penguin, tortoise, horse"
55187,taxonomy_animal,"fly, donkey, dentist, bus, goat, mouse","goat, donkey, fly, mouse"
52979,taxonomy_animal,"snail, butterfly, shirt, red, panda","snail, panda, butterfly"
54018,taxonomy_animal,"bee, tractor, photographer, snail, horse, ship","snail, horse, bee"
54622,taxonomy_animal,"jellyfish, carrot, whale, bee, businessman","bee, jellyfish, whale"
53749,taxonomy_animal,"onion, bread, lion, bee, cat, ship, snake","bee, cat, lion, snake"
54250,taxonomy_animal,"rice, blue, pear, monkey, frog, elephant, sheep","elephant, frog, sheep, monkey"
54587,taxonomy_animal,"giraffe, donkey, lizard, purple, pajamas, shark, blue","lizard, donkey, shark, giraffe"
52966,taxonomy_animal,"train, sweater, swan, photographer, spider, hippo","swan, spider, hippo"
54422,taxonomy_animal,"artist, sheep, camel, bee, businesswoman, butterfly, waiter","sheep, bee, butterfly, camel"
54180,taxonomy_animal,"butterfly, horse, businesswoman, duck, green, glove, lizard","butterfly, lizard, duck, horse"
52304,taxonomy_animal,"dolphin, sheep, frog, yoghurt, giraffe, nurse","sheep, dolphin, frog, giraffe"
53810,taxonomy_animal,"panda, sausage, helicopter, camel, apple, lion","camel, panda, lion"
53208,taxonomy_animal,"frog, sheep, hat, pajamas, lion, zebra","zebra, frog, sheep, lion"
53411,taxonomy_animal,"hat, green, giraffe, zebra, hippo, helicopter","zebra, giraffe, hippo"
53728,taxonomy_animal,"shark, goat, skirt, lion, meatballs","goat, lion, shark"
54857,taxonomy_animal,"doctor, frog, monkey, hippo, mouse, mango","frog, mouse, hippo, monkey"
54084,taxonomy_animal,"panda, horse, lizard, duck, teacher, honey, ambulance","lizard, horse, panda, duck"
53459,taxonomy_animal,"giraffe, taxi, ship, zebra, bus, fly","fly, zebra, giraffe"
52981,taxonomy_animal,"octopus, goat, sheep, plane, motorway","sheep, octopus, goat"
55115,taxonomy_animal,"hippo, duck, rice, donkey, purple, bat","bat, hippo, duck, donkey"
53292,taxonomy_animal,"rabbit, mouse, fly, honey, mango, tiger","tiger, fly, mouse, rabbit"
52815,taxonomy_animal,"bus, parrot, spaceship, pink, horse, panda","horse, panda, parrot"
54398,taxonomy_animal,"businesswoman, jacket, designer, panda, mouse, penguin","panda, penguin, mouse"
54619,taxonomy_animal,"engineer, monkey, doctor, penguin, egg, lizard, fly","penguin, monkey, lizard, fly"
55062,taxonomy_animal,"frog, belt, bat, butterfly, helicopter, bee","butterfly, bee, frog, bat"
53047,taxonomy_animal,"zebra, spider, journalist, pink, whale","zebra, whale, spider"
52604,taxonomy_animal,"cook, giraffe, whale, pink, butterfly, penguin","whale, butterfly, giraffe, penguin"
53330,taxonomy_animal,"scarf, parrot, rabbit, snake, glove, yellow, chicken","chicken, parrot, snake, rabbit"
53370,taxonomy_animal,"red, butterfly, truck, camel, designer, tortoise","camel, butterfly, tortoise"
54801,taxonomy_animal,"elephant, shirt, duck, whale, dentist, car","elephant, duck, whale"
52927,taxonomy_animal,"goat, train, cat, bus, elephant, butterfly, olives","elephant, cat, goat, butterfly"
53982,taxonomy_animal,"penguin, ambulance, zebra, whale, lemon","zebra, whale, penguin"
54186,taxonomy_animal,"swan, train, panda, hippo, ship","hippo, panda, swan"
52537,taxonomy_animal,"swan, pajamas, mouse, burger, snake","swan, snake, mouse"
54879,taxonomy_animal,"zebra, frog, tiger, mechanic, orange, monkey","tiger, zebra, frog, monkey"
54218,taxonomy_animal,"panda, snail, penguin, pink, shark, belt, teacher","penguin, panda, shark, snail"
53091,taxonomy_animal,"orange, butterfly, giraffe, train, sandwich, hippo, chicken","chicken, butterfly, giraffe, hippo"
54337,taxonomy_animal,"rabbit, snail, sweater, gray, snake, chicken, pajamas","snail, rabbit, snake, chicken"
54765,taxonomy_animal,"sausage, horse, banana, monkey, butterfly, rabbit","horse, monkey, rabbit, butterfly"
53403,taxonomy_animal,"gray, octopus, pineapple, spider, frog","octopus, frog, spider"
54590,taxonomy_animal,"fly, green, shark, camel, businessman, mouse","fly, mouse, camel, shark"
54692,taxonomy_animal,"trousers, monkey, ambulance, camel, nurse, tortoise","camel, tortoise, monkey"
54701,taxonomy_animal,"lizard, lemon, dentist, salad, panda, snail","snail, lizard, panda"
53448,taxonomy_animal,"frog, green, lion, giraffe, dress, train","giraffe, frog, lion"
54062,taxonomy_animal,"green, jellyfish, monkey, cook, parrot, donkey, ambulance","parrot, donkey, monkey, jellyfish"
54416,taxonomy_animal,"monkey, goat, purple, butterfly, waiter, car","butterfly, goat, monkey"
53405,taxonomy_animal,"swimsuit, chicken, spider, car, giraffe","spider, chicken, giraffe"
54449,taxonomy_animal,"belt, butterfly, horse, elephant, orange, bus","horse, elephant, butterfly"
54417,taxonomy_animal,"duck, spaceship, frog, parrot, bread","duck, frog, parrot"
54407,taxonomy_animal,"pasta, pink, goat, whale, mouse","whale, mouse, goat"
53758,taxonomy_animal,"blue, snail, mouse, chicken, bee, orange","snail, mouse, bee, chicken"
52989,taxonomy_animal,"egg, donkey, jellyfish, helicopter, mouse, gray","jellyfish, mouse, donkey"
53570,taxonomy_animal,"tortoise, soup, snake, mango, photographer, sheep","snake, tortoise, sheep"
55077,taxonomy_animal,"horse, bat, glove, engineer, jellyfish, goat","goat, bat, jellyfish, horse"
52351,taxonomy_animal,"hippo, butterfly, zebra, spaceship, elephant, yellow","elephant, butterfly, zebra, hippo"
54832,taxonomy_animal,"swan, cat, snail, businesswoman, panda, bus","panda, snail, swan, cat"
52900,taxonomy_animal,"zebra, bee, goat, white, teacher","goat, zebra, bee"
52851,taxonomy_animal,"duck, actor, shark, zebra, sock","zebra, duck, shark"
55063,taxonomy_animal,"mouse, glove, butterfly, blue, giraffe, sheep","sheep, mouse, giraffe, butterfly"
52767,taxonomy_animal,"bat, doctor, ambulance, snail, chicken","bat, snail, chicken"
53027,taxonomy_animal,"spaceship, mouse, giraffe, whale, zebra, rice","mouse, giraffe, zebra, whale"
52272,taxonomy_animal,"honey, octopus, shark, sheep, olives, bat","octopus, bat, sheep, shark"
52563,taxonomy_animal,"dolphin, businessman, spider, camel, journalist, pea, monkey","camel, spider, monkey, dolphin"
53701,taxonomy_animal,"jellyfish, car, spider, gold, donkey, duck","duck, jellyfish, donkey, spider"
53507,taxonomy_animal,"meatballs, jeans, zebra, elephant, parrot","zebra, parrot, elephant"
52732,taxonomy_animal,"jellyfish, octopus, goat, cook, brown, tortoise, doctor","goat, jellyfish, tortoise, octopus"
54036,taxonomy_animal,"pajamas, sweater, spaceship, shark, bat, whale, elephant","bat, elephant, shark, whale"
53331,taxonomy_animal,"spider, parrot, businesswoman, butterfly, pear, tractor","parrot, butterfly, spider"
52960,taxonomy_animal,"shirt, elephant, snail, swan, hat, rabbit","elephant, swan, rabbit, snail"
53199,taxonomy_animal,"trousers, sheep, dolphin, ambulance, green, bat, lizard","bat, lizard, dolphin, sheep"
52711,taxonomy_animal,"whale, purple, bee, chicken, cook, strawberry, giraffe","giraffe, bee, whale, chicken"
53064,taxonomy_animal,"monkey, scarf, horse, elephant, gray, panda, yellow","horse, panda, monkey, elephant"
54703,taxonomy_animal,"donkey, whale, doctor, chicken, egg, jeans, camel","chicken, camel, whale, donkey"
54490,taxonomy_animal,"purple, jellyfish, shoe, sheep, businesswoman, bat, giraffe","jellyfish, giraffe, sheep, bat"
52973,taxonomy_animal,"brown, belt, donkey, monkey, butterfly, elephant, white","butterfly, elephant, monkey, donkey"
55124,taxonomy_animal,"purple, parrot, horse, rabbit, belt, elephant, hat","elephant, rabbit, horse, parrot"
54258,taxonomy_animal,"penguin, snake, white, dolphin, yellow, shirt, camel","penguin, snake, camel, dolphin"
54470,taxonomy_animal,"sheep, whale, swimsuit, bus, lion","sheep, lion, whale"
53637,taxonomy_animal,"cookie, spider, swan, parrot, purple, truck, butterfly","spider, swan, parrot, butterfly"
52219,taxonomy_animal,"pink, chicken, businesswoman, bat, monkey, hippo","chicken, monkey, hippo, bat"
53786,taxonomy_animal,"fly, bee, hat, horse, cat, white, strawberry","fly, bee, cat, horse"
54354,taxonomy_animal,"zebra, penguin, sandwich, monkey, photographer","zebra, monkey, penguin"
52453,taxonomy_animal,"train, ambulance, snail, penguin, tortoise","snail, tortoise, penguin"
53613,taxonomy_animal,"jeans, donkey, shark, purple, mechanic, goat","donkey, goat, shark"
55131,taxonomy_animal,"bat, blue, zebra, swimsuit, mouse","zebra, mouse, bat"
52974,taxonomy_animal,"bee, sausage, motorway, tiger, cook, snake, giraffe","snake, bee, tiger, giraffe"
53054,taxonomy_animal,"honey, sock, hippo, lion, octopus, bee","octopus, hippo, bee, lion"
54892,taxonomy_animal,"goat, gray, jellyfish, cat, camel, actor, bean","camel, goat, cat, jellyfish"
53334,taxonomy_animal,"elephant, red, hippo, camel, helicopter","hippo, camel, elephant"
53843,taxonomy_animal,"horse, red, cat, swan, white, sheep","sheep, cat, swan, horse"
54061,taxonomy_animal,"shark, parrot, onion, green, whale","shark, parrot, whale"
53058,taxonomy_animal,"cat, shark, apple, zebra, lizard, blue, mechanic","shark, zebra, cat, lizard"
52543,taxonomy_animal,"dentist, nurse, pink, donkey, bat, sheep, panda","panda, sheep, donkey, bat"
54012,taxonomy_animal,"businessman, elephant, helicopter, tiger, banana, swan, shark","elephant, shark, tiger, swan"
52907,taxonomy_animal,"swan, frog, butterfly, monkey, gray, olives","frog, swan, monkey, butterfly"
53419,taxonomy_animal,"businesswoman, artist, zebra, goat, orange, octopus","zebra, octopus, goat"
52498,taxonomy_animal,"octopus, monkey, belt, trousers, actor, cat","cat, octopus, monkey"
54421,taxonomy_animal,"octopus, parrot, elephant, purple, milk, hat, spider","parrot, elephant, spider, octopus"
52288,taxonomy_animal,"teacher, businesswoman, octopus, dolphin, bat","dolphin, bat, octopus"
54280,taxonomy_animal,"bee, gold, scarf, spaceship, butterfly, parrot, elephant","butterfly, elephant, parrot, bee"
52722,taxonomy_animal,"yellow, spider, truck, giraffe, dolphin","giraffe, dolphin, spider"
52302,taxonomy_animal,"nurse, giraffe, butterfly, carrot, penguin","butterfly, giraffe, penguin"
53188,taxonomy_animal,"octopus, actor, snake, tiger, bee, mechanic","snake, tiger, octopus, bee"
52920,taxonomy_animal,"mango, lion, fly, actor, tortoise, hat","tortoise, fly, lion"
55014,taxonomy_animal,"horse, swan, nurse, sweater, parrot, photographer, fly","fly, parrot, horse, swan"
54245,taxonomy_animal,"monkey, gold, penguin, jellyfish, belt","jellyfish, penguin, monkey"
55177,taxonomy_animal,"panda, engineer, duck, lion, monkey, designer","monkey, panda, duck, lion"
52968,taxonomy_animal,"designer, dolphin, duck, tortoise, green","dolphin, duck, tortoise"
54887,taxonomy_animal,"giraffe, monkey, pajamas, spider, actor, frog","monkey, giraffe, spider, frog"
53283,taxonomy_animal,"egg, goat, mouse, yoghurt, jellyfish, bread, tortoise","goat, jellyfish, mouse, tortoise"
52385,taxonomy_animal,"brown, penguin, teacher, designer, jellyfish, lion, bat","lion, penguin, bat, jellyfish"
54554,taxonomy_animal,"panda, trousers, car, lemon, lion, snake, goat","panda, snake, goat, lion"
52282,taxonomy_animal,"tortoise, elephant, yellow, jellyfish, bat, sausage","bat, jellyfish, elephant, tortoise"
