task,input,output
taxonomy_animal,"goat, motorway, jacket, jellyfish, bat","goat, jellyfish, bat"
taxonomy_animal,"dentist, duck, green, parrot, whale","whale, duck, parrot"
taxonomy_animal,"giraffe, waiter, car, whale, elephant","whale, elephant, giraffe"
taxonomy_animal,"dolphin, bus, octopus, duck, engineer","duck, dolphin, octopus"
taxonomy_animal,"parrot, vegetable, swan, octopus, milk, zebra","parrot, octopus, swan, zebra"
taxonomy_animal,"blue, tortoise, pajamas, tiger, sheep, doctor, cat","sheep, tortoise, tiger, cat"
taxonomy_animal,"hippo, spider, businessman, tortoise, dolphin, engineer, scarf","hippo, tortoise, dolphin, spider"
taxonomy_animal,"lion, frog, pink, businessman, jacket, elephant","elephant, lion, frog"
taxonomy_animal,"cat, orange, donkey, jellyfish, teacher","donkey, jellyfish, cat"
taxonomy_animal,"pink, lion, belt, cat, teacher, zebra, dolphin","dolphin, lion, zebra, cat"
taxonomy_animal,"dentist, horse, chicken, tiger, artist, elephant","elephant, chicken, tiger, horse"
taxonomy_animal,"lion, pajamas, yellow, giraffe, ambulance, fly","fly, giraffe, lion"
taxonomy_animal,"jellyfish, duck, orange, mechanic, camel, purple, shark","camel, shark, duck, jellyfish"
taxonomy_animal,"horse, hippo, pink, tiger, purple","hippo, tiger, horse"
taxonomy_animal,"sausage, horse, banana, monkey, butterfly, rabbit","horse, monkey, rabbit, butterfly"
taxonomy_animal,"zebra, camel, gold, penguin, glove, sheep, truck","zebra, sheep, camel, penguin"
taxonomy_animal,"milk, bus, horse, panda, spider","horse, spider, panda"
taxonomy_animal,"butterfly, bat, car, fly, swan, onion","fly, butterfly, bat, swan"
taxonomy_animal,"snake, lion, carrot, green, rabbit, penguin","lion, penguin, rabbit, snake"
taxonomy_animal,"tractor, swan, vegetable, horse, tiger, penguin","swan, penguin, tiger, horse"
taxonomy_animal,"photographer, elephant, goat, lion, mechanic, donkey","lion, goat, elephant, donkey"
taxonomy_animal,"bee, mango, butterfly, horse, jeans","butterfly, horse, bee"
taxonomy_animal,"cat, ambulance, blue, gray, lizard, sheep, zebra","sheep, lizard, cat, zebra"
taxonomy_animal,"mouse, businesswoman, glove, cat, brown, dolphin","mouse, dolphin, cat"
taxonomy_animal,"rabbit, tiger, sausage, duck, truck","tiger, rabbit, duck"
taxonomy_animal,"frog, jellyfish, tiger, glove, elephant, engineer","jellyfish, elephant, tiger, frog"
taxonomy_animal,"ambulance, egg, chicken, dolphin, monkey, pancake","chicken, dolphin, monkey"
taxonomy_animal,"swan, monkey, engineer, cat, glove, octopus","octopus, swan, monkey, cat"
taxonomy_animal,"spider, butterfly, cookie, bat, penguin, bus, skirt","bat, butterfly, penguin, spider"
taxonomy_animal,"whale, sock, spider, bee, gold, businesswoman","whale, bee, spider"
taxonomy_animal,"octopus, elephant, jellyfish, blue, sweater, cook","elephant, octopus, jellyfish"
taxonomy_animal,"tortoise, rabbit, swimsuit, hat, parrot","rabbit, tortoise, parrot"
taxonomy_animal,"dolphin, tortoise, giraffe, shark, truck, orange","giraffe, dolphin, shark, tortoise"
taxonomy_animal,"snake, photographer, panda, bee, mechanic, fly, shoe","fly, bee, snake, panda"
taxonomy_animal,"giraffe, shoe, duck, teacher, donkey, monkey","monkey, donkey, duck, giraffe"
taxonomy_animal,"frog, spider, hippo, yellow, waiter, tortoise, orange","spider, hippo, tortoise, frog"
taxonomy_animal,"actor, salad, purple, parrot, donkey, mouse","donkey, mouse, parrot"
taxonomy_animal,"trousers, penguin, bee, tractor, snake","bee, penguin, snake"
taxonomy_animal,"frog, shark, helicopter, swimsuit, rabbit, horse","horse, shark, rabbit, frog"
taxonomy_animal,"rabbit, lizard, horse, zebra, sweater, ambulance, yellow","zebra, lizard, rabbit, horse"
taxonomy_animal,"businessman, waiter, bat, designer, duck, monkey","bat, monkey, duck"
taxonomy_animal,"duck, parrot, snail, tractor, plane","snail, parrot, duck"
taxonomy_animal,"white, butterfly, donkey, bee, whale, brown, yellow","donkey, bee, butterfly, whale"
taxonomy_animal,"jeans, camel, octopus, trousers, giraffe, artist, parrot","giraffe, parrot, camel, octopus"
taxonomy_animal,"rabbit, cat, penguin, shirt, sweater, lion","rabbit, penguin, cat, lion"
taxonomy_animal,"actor, panda, sheep, chicken, bat, yellow, banana","bat, sheep, chicken, panda"
taxonomy_animal,"giraffe, tortoise, swimsuit, ambulance, octopus, elephant","elephant, giraffe, tortoise, octopus"
taxonomy_animal,"scarf, tiger, orange, duck, donkey, hippo","hippo, donkey, tiger, duck"
taxonomy_animal,"vegetable, milk, bee, sheep, bat, candy","bat, sheep, bee"
taxonomy_animal,"lion, yellow, pajamas, zebra, parrot, mouse, spaceship","parrot, zebra, mouse, lion"
taxonomy_animal,"elephant, shirt, duck, whale, dentist, car","elephant, duck, whale"
taxonomy_animal,"monkey, snail, octopus, businessman, gold","monkey, octopus, snail"
taxonomy_animal,"meatballs, glove, octopus, cat, tortoise, trousers, fly","fly, tortoise, cat, octopus"
taxonomy_animal,"chicken, pajamas, designer, zebra, lion","lion, chicken, zebra"
taxonomy_animal,"jellyfish, actor, butterfly, penguin, engineer, whale","penguin, jellyfish, butterfly, whale"
taxonomy_animal,"meatballs, penguin, sheep, dentist, gray, duck, jellyfish","sheep, duck, penguin, jellyfish"
taxonomy_animal,"purple, lizard, ship, yellow, whale, fly, donkey","fly, donkey, whale, lizard"
taxonomy_animal,"dolphin, egg, gold, dress, tortoise, jellyfish","tortoise, dolphin, jellyfish"
taxonomy_animal,"bus, goat, train, snake, lion, fly","snake, lion, fly, goat"
taxonomy_animal,"bus, mouse, penguin, zebra, sock","mouse, penguin, zebra"
taxonomy_animal,"teacher, horse, tiger, snail, butterfly, yellow, designer","butterfly, tiger, horse, snail"
taxonomy_animal,"dolphin, ship, horse, lion, designer, actor","dolphin, horse, lion"
taxonomy_animal,"sweater, snail, lizard, yellow, shoe, octopus, dolphin","lizard, dolphin, octopus, snail"
taxonomy_animal,"horse, whale, camel, lizard, glove, belt","horse, lizard, camel, whale"
taxonomy_animal,"lion, bee, kiwi, rabbit, pajamas","lion, bee, rabbit"
taxonomy_animal,"ambulance, strawberry, jellyfish, gold, octopus, hippo","hippo, jellyfish, octopus"
taxonomy_animal,"orange, frog, pasta, monkey, spider","monkey, spider, frog"
taxonomy_animal,"taxi, giraffe, chicken, snake, bean, zebra","zebra, giraffe, chicken, snake"
taxonomy_animal,"elephant, mouse, gold, ship, jellyfish, milk, snake","mouse, snake, jellyfish, elephant"
taxonomy_animal,"hippo, swan, actor, shoe, egg, whale","whale, hippo, swan"
taxonomy_animal,"monkey, pink, designer, butterfly, panda, octopus","butterfly, octopus, monkey, panda"
taxonomy_animal,"elephant, jellyfish, shoe, pink, red, hippo","jellyfish, hippo, elephant"
taxonomy_animal,"whale, pajamas, ambulance, octopus, duck, lemon","duck, whale, octopus"
taxonomy_animal,"bat, cat, green, car, snake, meatballs, spider","snake, cat, spider, bat"
taxonomy_animal,"bee, chicken, photographer, shoe, whale","whale, chicken, bee"
taxonomy_animal,"tortoise, cat, tiger, frog, artist, photographer","cat, tortoise, tiger, frog"
taxonomy_animal,"shirt, fly, tortoise, hat, cat, tomato, shark","cat, fly, tortoise, shark"
taxonomy_animal,"goat, pajamas, scarf, hippo, egg, whale","hippo, whale, goat"
taxonomy_animal,"jacket, yellow, donkey, shirt, cat, snake","cat, donkey, snake"
taxonomy_animal,"motorway, pear, jacket, duck, jellyfish, hippo","duck, hippo, jellyfish"
taxonomy_animal,"panda, yellow, duck, egg, goat","goat, duck, panda"
taxonomy_animal,"swan, cat, snail, businesswoman, panda, bus","panda, snail, swan, cat"
taxonomy_animal,"donkey, white, hat, elephant, parrot, helicopter","elephant, parrot, donkey"
taxonomy_animal,"monkey, gray, butterfly, dolphin, mouse, trousers, brown","butterfly, monkey, mouse, dolphin"
taxonomy_animal,"swan, artist, cat, sheep, parrot, nurse, scarf","cat, parrot, swan, sheep"
taxonomy_animal,"businessman, snail, white, shoe, tiger, duck","duck, snail, tiger"
taxonomy_animal,"sock, butterfly, nurse, hippo, pajamas, frog","butterfly, hippo, frog"
taxonomy_animal,"pea, elephant, hat, fly, truck, jellyfish, horse","fly, elephant, horse, jellyfish"
taxonomy_animal,"hippo, camel, donkey, lemon, purple","camel, hippo, donkey"
taxonomy_animal,"fly, sweater, horse, cat, brown, teacher","fly, cat, horse"
taxonomy_animal,"donkey, butterfly, chicken, jeans, panda, glove, pink","butterfly, panda, donkey, chicken"
taxonomy_animal,"frog, pink, tortoise, whale, orange, truck","frog, whale, tortoise"
taxonomy_animal,"rice, car, octopus, teacher, snail, mouse","snail, octopus, mouse"
taxonomy_animal,"hat, hippo, lion, rabbit, zebra, tractor","rabbit, lion, zebra, hippo"
taxonomy_animal,"yellow, blue, goat, parrot, waiter, dolphin","goat, parrot, dolphin"
taxonomy_animal,"helicopter, doctor, goat, spider, snail, glove, chicken","goat, spider, chicken, snail"
taxonomy_animal,"glove, duck, butterfly, truck, penguin, bee","butterfly, penguin, duck, bee"
taxonomy_animal,"plane, parrot, zebra, jacket, frog, cat, engineer","zebra, frog, cat, parrot"
taxonomy_animal,"fly, snake, tortoise, jeans, lizard, gold","snake, tortoise, lizard, fly"
taxonomy_animal,"frog, purple, tortoise, truck, salad, lizard","lizard, frog, tortoise"
taxonomy_animal,"businessman, whale, giraffe, businesswoman, monkey, designer","giraffe, whale, monkey"
taxonomy_animal,"dolphin, mouse, tiger, ambulance, cook, butterfly, glove","butterfly, tiger, mouse, dolphin"
taxonomy_animal,"sheep, swan, mechanic, truck, butterfly, kiwi, whale","sheep, swan, whale, butterfly"
taxonomy_animal,"snail, elephant, lemon, parrot, snake, pajamas, ambulance","elephant, snail, snake, parrot"
taxonomy_animal,"actor, goat, giraffe, penguin, belt","goat, giraffe, penguin"
taxonomy_animal,"spider, orange, chicken, rabbit, camel, sock, hat","chicken, camel, rabbit, spider"
taxonomy_animal,"doctor, frog, monkey, hippo, mouse, mango","frog, mouse, hippo, monkey"
taxonomy_animal,"zebra, donkey, elephant, spaceship, cat, glove","elephant, zebra, donkey, cat"
taxonomy_animal,"bat, chicken, ambulance, businessman, hippo, ship","hippo, bat, chicken"
taxonomy_animal,"truck, zebra, pear, penguin, brown, duck","penguin, duck, zebra"
taxonomy_animal,"cat, zebra, pink, doctor, snail","cat, snail, zebra"
taxonomy_animal,"giraffe, candy, penguin, jacket, hippo","penguin, hippo, giraffe"
taxonomy_animal,"olives, snail, sheep, chicken, nurse, rabbit, dress","chicken, rabbit, snail, sheep"
taxonomy_animal,"spider, spaceship, snail, jeans, yellow, goat, donkey","goat, donkey, spider, snail"
taxonomy_animal,"lizard, swan, cook, octopus, shoe, sweater, whale","lizard, whale, octopus, swan"
taxonomy_animal,"milk, octopus, lizard, monkey, horse, sandwich","lizard, horse, monkey, octopus"
taxonomy_animal,"butterfly, train, elephant, goat, tractor, panda","elephant, panda, butterfly, goat"
taxonomy_animal,"spaceship, scarf, horse, jellyfish, parrot, rabbit","rabbit, jellyfish, parrot, horse"
taxonomy_animal,"skirt, sausage, giraffe, goat, donkey","goat, donkey, giraffe"
taxonomy_animal,"elephant, giraffe, whale, butter, shoe, cookie, hippo","whale, giraffe, elephant, hippo"
taxonomy_animal,"gold, parrot, sheep, ship, yellow, whale","parrot, sheep, whale"
taxonomy_animal,"ambulance, horse, businessman, snake, frog, shark","shark, frog, horse, snake"
taxonomy_animal,"bee, elephant, hat, waiter, whale","bee, whale, elephant"
taxonomy_animal,"sock, bat, gold, octopus, swan, purple","bat, swan, octopus"
taxonomy_animal,"dolphin, businessman, truck, whale, duck, hat","duck, whale, dolphin"
taxonomy_animal,"whale, horse, pink, helicopter, brown, hippo","horse, whale, hippo"
taxonomy_animal,"white, rabbit, ship, goat, duck","duck, goat, rabbit"
taxonomy_animal,"parrot, donkey, shoe, octopus, snail, glove","octopus, parrot, snail, donkey"
taxonomy_animal,"zebra, frog, tiger, mechanic, orange, monkey","tiger, zebra, frog, monkey"
taxonomy_animal,"parrot, fly, gold, ambulance, skirt, bat","fly, bat, parrot"
taxonomy_animal,"mouse, artist, cook, donkey, apple, octopus, horse","octopus, mouse, donkey, horse"
taxonomy_animal,"train, bat, tiger, watermelon, jellyfish, bean, horse","jellyfish, bat, tiger, horse"
taxonomy_animal,"dolphin, rabbit, sheep, lizard, ambulance, mango, nurse","rabbit, dolphin, sheep, lizard"
taxonomy_animal,"cookie, parrot, donkey, orange, journalist, tiger","donkey, parrot, tiger"
taxonomy_animal,"hippo, bee, fly, trousers, lemon","fly, bee, hippo"
taxonomy_animal,"bee, green, giraffe, chocolate, monkey, actor","bee, monkey, giraffe"
taxonomy_animal,"giraffe, monkey, pajamas, spider, actor, frog","monkey, giraffe, spider, frog"
taxonomy_animal,"businesswoman, elephant, hippo, penguin, bee, scarf","elephant, hippo, bee, penguin"
taxonomy_animal,"white, pasta, penguin, donkey, pancake, parrot","parrot, penguin, donkey"
taxonomy_animal,"horse, yellow, bat, doctor, businessman, fly","horse, bat, fly"
taxonomy_animal,"hippo, elephant, orange, tractor, swimsuit, mouse","mouse, hippo, elephant"
taxonomy_animal,"goat, gray, jellyfish, cat, camel, actor, bean","camel, goat, cat, jellyfish"
taxonomy_animal,"cat, helicopter, car, rabbit, chicken, octopus","chicken, octopus, cat, rabbit"
taxonomy_animal,"dentist, donkey, lemon, goat, elephant, swan, actor","swan, donkey, elephant, goat"
taxonomy_animal,"frog, goat, businessman, duck, gold, pasta","duck, goat, frog"
taxonomy_animal,"watermelon, monkey, whale, octopus, red, donkey","monkey, whale, octopus, donkey"
taxonomy_animal,"butterfly, engineer, whale, blue, bat, snake, ambulance","snake, whale, butterfly, bat"
taxonomy_animal,"brown, gold, snail, frog, penguin, parrot, hat","frog, snail, parrot, penguin"
taxonomy_animal,"duck, mouse, swan, monkey, pea, gold","duck, swan, mouse, monkey"
taxonomy_animal,"frog, hat, jacket, helicopter, goat, sheep, jellyfish","sheep, jellyfish, goat, frog"
taxonomy_animal,"waiter, pear, horse, zebra, lion","horse, zebra, lion"
taxonomy_animal,"cat, spider, white, car, plane, monkey, lizard","monkey, cat, lizard, spider"
taxonomy_animal,"monkey, penguin, horse, yellow, mouse, ship","penguin, horse, mouse, monkey"
taxonomy_animal,"white, dentist, tractor, shark, whale, rabbit","rabbit, shark, whale"
taxonomy_animal,"snail, ship, trousers, jellyfish, rabbit","jellyfish, snail, rabbit"
taxonomy_animal,"goat, white, monkey, shark, banana","monkey, goat, shark"
taxonomy_animal,"hat, tiger, pink, penguin, jellyfish","tiger, penguin, jellyfish"
taxonomy_animal,"bee, giraffe, parrot, businessman, green, tortoise, engineer","parrot, giraffe, tortoise, bee"
taxonomy_animal,"jeans, mechanic, octopus, camel, giraffe, donkey, hat","octopus, donkey, giraffe, camel"
taxonomy_animal,"dentist, snake, bean, chicken, ambulance, parrot, duck","snake, duck, parrot, chicken"
taxonomy_animal,"bee, duck, fly, pink, cat, orange, plane","duck, bee, cat, fly"
taxonomy_animal,"jacket, businessman, snail, dolphin, mouse, horse","snail, horse, mouse, dolphin"
taxonomy_animal,"octopus, frog, tractor, elephant, fly, scarf","octopus, frog, fly, elephant"
taxonomy_animal,"horse, sock, dolphin, monkey, banana, orange","horse, dolphin, monkey"
taxonomy_animal,"ambulance, goat, sheep, doctor, tortoise","goat, tortoise, sheep"
taxonomy_animal,"penguin, jacket, orange, cat, pink, giraffe","cat, giraffe, penguin"
taxonomy_animal,"swan, horse, white, dolphin, snake, honey, jacket","snake, swan, dolphin, horse"
taxonomy_animal,"frog, brown, tortoise, green, gray, zebra","tortoise, frog, zebra"
taxonomy_animal,"plane, dolphin, white, donkey, snail, doctor","donkey, dolphin, snail"
taxonomy_animal,"lion, dolphin, skirt, fly, elephant, shirt, tractor","elephant, fly, lion, dolphin"
taxonomy_animal,"whale, jellyfish, motorway, fly, artist, vegetable","whale, fly, jellyfish"
taxonomy_animal,"egg, bat, chocolate, chicken, sheep","chicken, bat, sheep"
taxonomy_animal,"frog, cat, penguin, businessman, lizard, banana, teacher","cat, penguin, frog, lizard"
taxonomy_animal,"burger, tractor, glove, monkey, chicken, goat","goat, chicken, monkey"
taxonomy_animal,"spider, sheep, orange, car, red, snail, goat","snail, goat, spider, sheep"
taxonomy_animal,"brown, dolphin, shark, truck, whale, yellow","whale, dolphin, shark"
taxonomy_animal,"butterfly, purple, bee, snail, pineapple, helicopter","snail, bee, butterfly"
taxonomy_animal,"giraffe, bee, pajamas, spaceship, tiger, taxi, octopus","giraffe, bee, octopus, tiger"
taxonomy_animal,"tomato, frog, shark, fly, gold, snail","frog, snail, shark, fly"
taxonomy_animal,"motorway, panda, engineer, monkey, sheep, gold, lizard","lizard, sheep, panda, monkey"
taxonomy_animal,"cook, horse, mouse, gray, elephant, rabbit, candy","mouse, elephant, horse, rabbit"
taxonomy_animal,"horse, ice cream, bee, sock, elephant","elephant, bee, horse"
taxonomy_animal,"honey, spider, parrot, mango, gold, octopus, mouse","octopus, parrot, spider, mouse"
taxonomy_animal,"lion, zebra, swimsuit, fly, ship, photographer","zebra, fly, lion"
taxonomy_animal,"camel, dolphin, pajamas, journalist, parrot, sheep","parrot, sheep, dolphin, camel"
taxonomy_animal,"giraffe, ship, brown, pajamas, monkey, penguin","giraffe, monkey, penguin"
taxonomy_animal,"brown, tortoise, lion, belt, train, snail","tortoise, lion, snail"
taxonomy_animal,"tortoise, truck, kiwi, spider, rabbit","spider, rabbit, tortoise"
taxonomy_animal,"banana, parrot, trousers, orange, zebra, goat, cat","goat, cat, zebra, parrot"
taxonomy_animal,"tiger, donkey, spaceship, shark, truck, dress","tiger, donkey, shark"
taxonomy_animal,"tortoise, spaceship, sheep, sweater, snail","tortoise, snail, sheep"
taxonomy_animal,"skirt, green, rabbit, whale, monkey, bee","monkey, bee, whale, rabbit"
taxonomy_animal,"giraffe, scarf, sock, green, fly, bee, hippo","giraffe, bee, fly, hippo"
